Knocked Genes,Knocked Count,Fitness
"107_AT1,64078_AT1,38_AT1,126792_AT1,8396_AT2,200576_AT1,3248_AT1,2978_AT1,1487_AT1",9,0.0229731697079528
"23539_AT1,3990_AT1,9489_AT1,113189_AT1,266722_AT1,6646_AT1",6,0.0228400032908503
"2629_AT5,6521_AT1,2944_AT1,5213_AT1,10476_AT1",5,0.0223092934400005
"57835_AT3,1716_AT5,427_AT2,1565_AT1,5322_AT1,2495_AT1,4725_AT1",7,0.0223017756462266
"197258_AT1,2820_AT1,79695_AT1,29922_AT1,8396_AT1,200576_AT1,3764_AT1,4698_AT1,4514_AT1,360203_AT1",10,0.0219161003799927
"316_AT1,271_AT3,3292_AT1,29880_AT1,10090_AT1,8534_AT1,4538_AT1,401494_AT1,51458_AT1",9,0.0218863537962437
"64841_AT1,240_AT1,10396_AT1,54575_AT1,55512_AT2,6713_AT1,2585_AT2,4697_AT1,57198_AT1",9,0.0217455209153157
"222_AT1,60482_AT1,55454_AT1,7001_AT3,4190_AT1,27124_AT2",6,0.0216914573622742
"9061_AT1,6573_AT2,374907_AT2,178_AT2,5140_AT1,7498_AT1",6,0.0216476186409427
"11164_AT1,686_AT1,4047_AT1,79178_AT1,9453_AT1,8833_AT1,8702_AT1,8473_AT1",8,0.0215652864320157
"5834_AT1,10858_AT1,3098_AT1,4708_AT1",4,0.0212846270801244
"7108_AT1,9334_AT1,4199_AT1,79178_AT1,58510_AT1,10249_AT1,4700_AT1",7,0.0212407164848256
"84002_AT1,2224_AT1,1548_AT1,6489_AT1,31_AT4,4715_AT1,387893_AT1",7,0.0209103908281338
"3098_AT5,56954_AT1,4284_AT1,26007_AT1",4,0.0204765613400153
"222_AT1,113675_AT1",2,0.0202063668780509
"570_AT1,2182_AT1,23305_AT1,79901_AT1,50506_AT1,5409_AT1,6574_AT1,29881_AT1,80025_AT4",9,0.020056120480626
"206358_AT1,6783_AT1,3706_AT1,8875_AT1,2526_AT1,56983_AT1,23262_AT1",7,0.0198919516321949
"6547_AT3,2954_AT1,2946_AT1,2169_AT1,283358_AT1",5,0.0194730857687311
"6817_AT3,10317_AT2,50814_AT1,2132_AT1,10841_AT1,51179_AT2,8529_AT1,343_AT1,200576_AT3,23478_AT1",10,0.0189665845695969
